session_id,user_type_id,label_id,timestamp_start,timestamp_end,vpn,rooted,emulator,ip_risk_score,session_duration,num_events,num_links_clicked,num_qr_scans,num_permission_requests,event_sequence_encoded,event_count_1,event_count_2,event_count_3,event_count_4,event_count_5,event_count_6,event_count_7,event_count_8,event_count_9,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,generator_version,scenario_family,risk_score,split,split_reason
session_v2_000001_a0b3b7d0,0,2,2026-01-01T18:15:25.827461,2026-01-01T18:17:29.827461,0,0,0,0.124,124,13,1,0,0,"[2, 12, 16, 12, 1, 11, 21, 2, 15, 21, 12, 15, 21]",1,2,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0,3,v2.0.0,link_chain_soft,0.601311,train,train_default
session_v2_000002_b54f7741,0,0,2025-10-22T05:13:56.827996,2025-10-22T05:20:32.827996,1,0,0,0.333,396,21,0,0,3,"[4, 13, 18, 18, 12, 13, 13, 18, 21, 9, 1, 13, 1, 13, 12, 19, 20, 1, 21, 4, 12]",3,0,0,2,0,0,0,0,1,0,0,3,5,0,0,0,0,3,1,1,2,v2.0.0,screen_share_contextual,0.404947,train,train_default
session_v2_000003_c565a744,1,1,2025-11-23T11:52:59.828688,2025-11-23T11:55:56.828688,0,0,0,0.406,177,28,2,0,1,"[2, 19, 12, 21, 1, 21, 6, 3, 21, 4, 18, 13, 21, 9, 1, 11, 21, 6, 2, 13, 1, 11, 21, 2, 12, 13, 21, 7]",3,3,1,1,0,2,1,0,1,0,2,2,3,0,0,0,0,1,1,0,7,v2.0.0,link_chain_soft,0.497128,train,train_default
session_v2_000004_87b6538e,1,1,2026-02-21T11:51:44.831158,2026-02-21T11:56:51.831158,1,0,0,0.404,307,26,0,0,8,"[4, 12, 17, 12, 17, 17, 18, 12, 12, 13, 4, 17, 18, 17, 17, 13, 19, 12, 21, 9, 5, 13, 13, 21, 10, 1]",1,0,0,2,1,0,0,0,1,1,0,5,4,0,0,0,6,2,1,0,2,v2.0.0,permission_dense,0.464716,train,train_default
session_v2_000005_2c5c5a28,3,0,2025-10-13T21:41:52.833117,2025-10-13T21:43:42.833117,1,1,0,0.524,110,13,1,3,1,"[1, 14, 14, 12, 14, 11, 13, 21, 6, 4, 17, 21, 9]",1,0,0,1,0,1,0,0,1,0,1,1,1,3,0,0,1,0,0,0,2,v2.0.0,benign_chat,0.422015,train,train_default
session_v2_000006_25e21774,0,0,2025-10-11T14:01:12.833991,2025-10-11T14:07:37.833991,0,1,0,0.126,385,22,0,0,0,"[4, 12, 21, 2, 15, 21, 7, 3, 13, 12, 13, 21, 5, 13, 12, 21, 4, 13, 13, 12, 12, 12]",0,1,1,2,1,0,1,0,0,0,0,6,5,0,1,0,0,0,0,0,4,v2.0.0,benign_chat,0.288954,train,train_default
session_v2_000007_7617e1e9,1,0,2026-01-17T09:20:22.835129,2026-01-17T09:26:55.835129,0,0,0,0.22,393,24,0,0,2,"[1, 21, 4, 17, 12, 13, 13, 13, 16, 13, 13, 12, 13, 13, 13, 9, 2, 13, 21, 7, 4, 17, 21, 9]",1,1,0,2,0,0,1,0,2,0,0,2,9,0,0,1,2,0,0,0,3,v2.0.0,benign_browse,0.339602,train,train_default
session_v2_000008_4571e092,1,0,2026-01-21T14:40:35.836186,2026-01-21T14:46:28.836186,0,0,0,0.313,353,21,0,2,0,"[5, 10, 3, 12, 21, 5, 13, 12, 12, 21, 2, 14, 21, 7, 1, 14, 12, 13, 13, 13, 21]",1,1,1,0,2,0,1,0,0,1,0,4,4,2,0,0,0,0,0,0,4,v2.0.0,benign_media,0.280164,train,train_default
session_v2_000009_4259c010,2,1,2025-12-17T00:05:57.837305,2025-12-17T00:10:25.837305,0,0,0,0.395,268,21,1,1,0,"[1, 13, 13, 14, 13, 13, 13, 21, 6, 4, 12, 13, 21, 2, 11, 13, 12, 12, 21, 5, 12]",1,1,0,1,1,1,0,0,0,0,1,4,7,1,0,0,0,0,0,0,3,v2.0.0,benign_files,0.476317,val,val_random_fill
session_v2_000010_96de3878,2,0,2025-11-29T23:57:10.838186,2025-11-30T00:01:27.838186,0,0,0,0.332,257,23,1,1,0,"[2, 11, 12, 15, 21, 7, 3, 12, 13, 21, 8, 1, 14, 12, 19, 21, 6, 4, 16, 12, 12, 21, 2]",1,2,1,1,0,1,1,1,0,0,1,5,1,1,1,1,0,0,1,0,4,v2.0.0,benign_media,0.356092,train,train_default
session_v2_000011_02e23290,3,0,2026-01-13T16:42:34.839725,2026-01-13T16:45:05.839725,0,0,0,0.32,151,16,0,1,1,"[2, 13, 7, 2, 21, 4, 18, 21, 9, 2, 14, 12, 12, 16, 16, 15]",0,3,0,1,0,0,1,0,1,0,0,2,1,1,1,2,0,1,0,0,2,v2.0.0,benign_media,0.260111,val,val_random_fill
session_v2_000012_ae14becc,1,0,2025-10-10T09:34:05.840245,2025-10-10T09:35:59.840245,0,0,1,0.439,114,9,0,0,0,"[4, 21, 9, 3, 21, 8, 5, 16, 13]",0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,v2.0.0,benign_browse,0.399884,val,val_random_fill
session_v2_000013_d9d79c97,0,2,2026-03-01T01:14:08.840939,2026-03-01T01:19:00.840939,0,0,0,0.425,292,20,0,0,6,"[3, 13, 21, 4, 4, 17, 18, 17, 12, 13, 12, 13, 12, 13, 18, 17, 12, 12, 12, 17]",0,0,1,2,0,0,0,0,0,0,0,6,4,0,0,0,4,2,0,0,1,v2.0.0,permission_dense,0.533134,val,val_withheld_combo
session_v2_000014_b823c86f,1,1,2026-01-25T02:28:26.842032,2026-01-25T02:31:12.842032,1,1,0,0.517,166,14,0,0,3,"[3, 8, 3, 12, 4, 17, 18, 17, 1, 12, 21, 4, 12, 21]",1,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,0,2,v2.0.0,permission_dense,0.483246,train,train_default
session_v2_000015_d0ffaa00,0,0,2026-02-02T11:44:27.842831,2026-02-02T11:46:23.842831,1,0,0,0.369,116,11,0,0,0,"[4, 12, 21, 9, 2, 15, 7, 2, 12, 12, 12]",0,2,0,1,0,0,1,0,1,0,0,4,0,0,1,0,0,0,0,0,1,v2.0.0,benign_media,0.318904,train,train_default
session_v2_000016_e0345ef1,1,0,2025-11-14T11:30:35.843805,2025-11-14T11:36:16.843805,0,0,1,0.364,341,25,1,2,0,"[1, 21, 4, 21, 1, 11, 14, 12, 12, 12, 21, 5, 15, 12, 21, 10, 3, 13, 8, 3, 13, 21, 8, 1, 14]",3,0,2,1,1,0,0,2,0,1,1,4,2,2,1,0,0,0,0,0,5,v2.0.0,benign_media,0.372559,train,train_default
session_v2_000017_3ffd208b,1,2,2025-11-27T03:43:56.844570,2025-11-27T03:44:57.844570,1,0,0,0.396,61,10,1,1,0,"[2, 12, 2, 11, 15, 14, 19, 20, 12, 13]",0,2,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,1,0,v2.0.0,mixed_anomalous,0.535838,train,train_default
session_v2_000018_a598c26c,0,1,2026-03-28T03:19:38.844908,2026-03-28T03:23:57.844908,0,0,0,0.312,259,18,1,0,1,"[1, 21, 12, 1, 11, 21, 2, 21, 12, 13, 21, 4, 18, 13, 9, 5, 13, 12]",2,1,0,1,1,0,0,0,1,0,1,3,3,0,0,0,0,1,0,0,4,v2.0.0,link_chain_soft,0.430748,test_ood,ood_time_bucket
session_v2_000019_efd52ed4,0,0,2025-11-17T17:37:16.846058,2025-11-17T17:42:48.846058,0,0,0,0.343,332,20,0,0,1,"[1, 13, 21, 6, 5, 12, 12, 21, 3, 21, 8, 1, 21, 4, 18, 21, 9, 2, 15, 12]",2,1,1,1,1,1,0,1,1,0,0,3,1,0,1,0,0,1,0,0,5,v2.0.0,benign_media,0.411284,train,train_default
session_v2_000020_5f1d76f8,3,0,2026-02-08T03:13:19.846866,2026-02-08T03:14:33.846866,0,0,0,0.481,74,8,1,0,0,"[5, 16, 21, 1, 11, 12, 21, 3]",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,v2.0.0,benign_browse,0.301121,val,val_withheld_combo
session_v2_000021_c34f5846,1,0,2025-12-04T20:25:29.847428,2025-12-04T20:30:38.847428,1,0,0,0.295,309,20,2,0,0,"[3, 8, 5, 12, 21, 4, 21, 12, 1, 11, 21, 2, 15, 12, 21, 2, 11, 13, 21, 1]",2,2,1,1,1,0,0,1,0,0,2,3,1,0,1,0,0,0,0,0,5,v2.0.0,link_chain_soft,0.379874,train,train_default
session_v2_000022_c58c077b,0,2,2026-02-04T03:03:06.848738,2026-02-04T03:05:06.848738,0,0,0,0.095,120,22,1,1,3,"[5, 13, 13, 21, 10, 2, 12, 1, 11, 21, 2, 15, 16, 17, 17, 13, 14, 21, 7, 4, 18, 12]",1,2,0,1,1,0,1,0,0,1,1,2,3,1,1,1,2,1,0,0,3,v2.0.0,archetype_link_install,0.755008,train,train_default
session_v2_000023_5be0706c,0,0,2026-03-18T18:04:06.850208,2026-03-18T18:10:18.850208,0,0,1,0.22,372,21,0,2,2,"[1, 6, 3, 13, 21, 8, 1, 14, 14, 21, 6, 4, 18, 13, 12, 18, 21, 9, 3, 13, 21]",2,0,2,1,0,2,0,1,1,0,0,1,3,2,0,0,0,2,0,0,4,v2.0.0,benign_media,0.353899,test_ood,ood_time_bucket
session_v2_000024_f7c714d9,1,1,2026-03-04T16:14:41.851015,2026-03-04T16:17:07.851015,0,0,0,0.162,146,13,1,1,1,"[2, 21, 7, 5, 21, 12, 2, 11, 15, 14, 17, 19, 20]",0,2,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,2,v2.0.0,mixed_anomalous,0.479921,train,train_default
session_v2_000025_6509bd20,3,0,2026-02-10T19:08:59.852052,2026-02-10T19:09:47.852052,0,0,0,0.277,48,7,0,0,1,"[2, 21, 4, 17, 21, 12, 1]",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,v2.0.0,qr_handoff_soft,0.347579,train,train_default
session_v2_000026_8bdd9656,1,0,2026-01-27T01:52:54.852618,2026-01-27T01:54:57.852618,0,0,0,0.426,123,12,0,0,0,"[5, 21, 10, 5, 21, 12, 1, 13, 12, 19, 20, 21]",1,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,1,1,3,v2.0.0,screen_share_contextual,0.411419,train,train_default
session_v2_000027_21a90e30,2,0,2025-11-29T03:31:21.853003,2025-11-29T03:34:30.853003,0,0,0,0.39,189,17,3,1,1,"[2, 13, 13, 11, 11, 21, 7, 5, 21, 10, 4, 17, 21, 2, 14, 11, 7]",0,2,0,1,1,0,2,0,0,1,3,0,2,1,0,0,1,0,0,0,3,v2.0.0,benign_browse,0.417694,val,val_random_fill
session_v2_000028_e45db0fc,1,0,2026-03-30T07:35:34.853520,2026-03-30T07:40:52.853520,0,0,0,0.175,318,21,1,0,0,"[2, 21, 4, 13, 21, 9, 1, 12, 12, 13, 11, 12, 21, 6, 5, 12, 21, 10, 4, 13, 12]",1,1,0,2,1,1,0,0,1,1,1,5,3,0,0,0,0,0,0,0,4,v2.0.0,benign_settings,0.268549,test_ood,ood_time_bucket
session_v2_000029_29e50158,0,0,2026-03-31T09:02:01.854937,2026-03-31T09:07:46.854937,0,0,1,0.428,345,16,1,1,0,"[1, 13, 14, 21, 4, 13, 21, 9, 5, 12, 21, 10, 1, 11, 13, 13]",2,0,0,1,1,0,0,0,1,1,1,1,4,1,0,0,0,0,0,0,3,v2.0.0,benign_media,0.340924,test_ood,ood_time_bucket
session_v2_000030_d6d02e84,0,0,2026-03-05T21:48:38.855458,2026-03-05T21:51:47.855458,0,0,0,0.3,189,10,0,1,0,"[3, 21, 1, 14, 21, 2, 21, 7, 3, 21]",1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,v2.0.0,benign_chat,0.383754,train,train_default
session_v2_000031_38ddb0de,0,2,2026-03-15T23:09:03.855786,2026-03-15T23:12:15.855786,1,0,0,0.328,192,14,0,0,5,"[1, 13, 21, 4, 17, 12, 13, 4, 17, 18, 17, 17, 13, 9]",1,0,0,2,0,0,0,0,1,0,0,1,3,0,0,0,4,1,0,0,1,v2.0.0,permission_dense,0.569068,test_ood,ood_time_bucket
session_v2_000032_68737d75,0,2,2025-12-20T06:54:14.856765,2025-12-20T06:59:33.856765,0,1,0,0.404,319,26,2,1,2,"[1, 21, 5, 21, 10, 1, 11, 21, 4, 17, 21, 2, 13, 21, 7, 2, 21, 12, 2, 11, 15, 14, 4, 18, 21, 9]",2,3,0,2,1,0,1,0,1,1,2,1,1,1,1,0,1,1,0,0,7,v2.0.0,mixed_anomalous,0.582299,train,train_default
session_v2_000033_8e539aef,0,0,2026-03-13T12:43:32.857770,2026-03-13T12:47:34.857770,0,0,0,0.067,242,20,1,0,0,"[1, 12, 19, 12, 12, 13, 21, 6, 2, 15, 11, 12, 21, 7, 3, 21, 2, 20, 13, 21]",1,2,1,0,0,1,1,0,0,0,1,4,2,0,1,0,0,0,1,1,4,v2.0.0,benign_browse,0.412306,test_ood,ood_time_bucket
session_v2_000034_4b459b71,1,1,2025-12-04T19:07:03.859310,2025-12-04T19:09:44.859310,1,0,0,0.475,161,15,1,1,1,"[4, 21, 1, 14, 21, 4, 17, 21, 9, 5, 12, 13, 2, 11, 15]",1,1,0,2,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,3,v2.0.0,mixed_anomalous,0.498625,train,train_default
session_v2_000035_b766b822,0,0,2025-11-07T07:02:56.859952,2025-11-07T07:08:39.859952,0,0,0,0.202,343,22,0,2,0,"[2, 12, 13, 12, 13, 13, 12, 12, 13, 13, 21, 7, 5, 12, 21, 10, 1, 14, 13, 21, 2, 14]",1,2,0,0,1,0,1,0,0,1,0,5,6,2,0,0,0,0,0,0,3,v2.0.0,benign_files,0.375606,train,train_default
session_v2_000036_a70161f0,2,1,2025-10-10T22:18:47.860931,2025-10-10T22:20:46.860931,0,0,0,0.374,119,14,1,0,0,"[2, 19, 12, 13, 1, 11, 21, 2, 13, 13, 21, 7, 4, 21]",1,2,0,1,0,0,1,0,0,0,1,1,3,0,0,0,0,0,1,0,3,v2.0.0,link_chain_soft,0.436187,val,val_withheld_combo
session_v2_000037_eefffd88,0,0,2026-03-29T05:25:35.861925,2026-03-29T05:32:01.861925,0,0,0,0.35,386,20,0,0,1,"[2, 13, 21, 7, 4, 13, 12, 12, 13, 12, 21, 9, 3, 12, 21, 4, 16, 13, 18, 12]",0,1,1,2,0,0,1,0,1,0,0,5,4,0,0,1,0,1,0,0,3,v2.0.0,benign_browse,0.394705,test_ood,ood_time_bucket
session_v2_000038_148c0e16,1,1,2026-02-15T08:43:36.862851,2026-02-15T08:46:36.862851,0,0,0,0.272,180,19,3,0,0,"[2, 11, 15, 11, 13, 12, 13, 1, 11, 21, 2, 15, 12, 13, 21, 7, 1, 13, 12]",2,2,0,0,0,0,1,0,0,0,3,3,4,0,2,0,0,0,0,0,2,v2.0.0,link_chain_soft,0.444537,train,train_default
session_v2_000039_4a5b944d,3,1,2025-10-19T16:37:35.863952,2025-10-19T16:40:41.863952,0,0,1,0.604,186,21,1,0,5,"[5, 12, 21, 10, 4, 18, 21, 1, 11, 21, 6, 4, 17, 17, 12, 16, 17, 17, 19, 21, 9]",1,0,0,2,1,1,0,0,1,1,1,2,0,0,0,1,4,1,1,0,4,v2.0.0,benign_files,0.466083,train,train_default
session_v2_000040_cb942ad7,0,0,2025-10-29T01:06:31.864860,2025-10-29T01:12:35.864860,0,0,0,0.295,364,22,1,1,0,"[1, 21, 3, 21, 8, 2, 14, 21, 7, 4, 13, 21, 1, 12, 11, 13, 21, 6, 5, 13, 13, 10]",2,1,1,1,1,1,1,1,0,1,1,1,4,1,0,0,0,0,0,0,5,v2.0.0,benign_chat,0.361674,train,train_default
session_v2_000041_7747c53a,0,0,2026-03-22T07:31:59.867423,2026-03-22T07:35:45.867423,0,0,0,0.275,226,10,0,0,2,"[4, 17, 9, 5, 12, 13, 21, 4, 17, 21]",0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,2,v2.0.0,benign_chat,0.319938,train,train_default
session_v2_000042_428d7150,0,0,2025-10-26T01:01:14.868042,2025-10-26T01:07:30.868042,0,0,0,0.137,376,22,0,0,2,"[5, 13, 10, 1, 21, 6, 2, 15, 15, 12, 21, 7, 4, 18, 21, 1, 21, 6, 4, 18, 21, 9]",2,1,0,2,1,2,1,0,1,1,0,1,1,0,2,0,0,2,0,0,5,v2.0.0,benign_media,0.388528,train,train_default
session_v2_000043_e8cc56b0,1,1,2025-11-03T00:47:14.868699,2025-11-03T00:49:48.868699,1,0,0,0.164,154,16,1,2,0,"[3, 12, 21, 13, 1, 14, 11, 13, 1, 14, 13, 12, 21, 6, 5, 15]",2,0,1,0,1,1,0,0,0,0,1,2,3,2,1,0,0,0,0,0,2,v2.0.0,qr_handoff_soft,0.475726,val,val_withheld_combo
session_v2_000044_183a4624,0,2,2025-12-15T12:35:45.869186,2025-12-15T12:38:16.869186,0,0,1,0.421,151,19,1,1,2,"[1, 13, 13, 21, 6, 5, 21, 10, 4, 18, 13, 13, 1, 14, 11, 19, 17, 21, 2]",2,1,0,1,1,1,0,0,0,1,1,0,4,1,0,0,1,1,1,0,3,v2.0.0,archetype_qr_takeover,0.706576,train,train_default
session_v2_000045_c06f25ca,1,0,2026-03-22T08:42:10.869752,2026-03-22T08:46:20.869752,0,0,0,0.24,250,19,2,1,0,"[4, 21, 9, 2, 11, 7, 1, 13, 12, 21, 12, 1, 11, 21, 2, 12, 13, 19, 14]",2,2,0,1,0,0,1,0,1,0,2,3,2,1,0,0,0,0,1,0,3,v2.0.0,link_chain_soft,0.33984,train,train_default
session_v2_000046_c627cacd,2,0,2025-11-22T16:29:11.870800,2025-11-22T16:31:57.870800,0,0,0,0.305,166,12,1,2,1,"[2, 14, 16, 21, 7, 4, 17, 21, 9, 2, 11, 14]",0,2,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0,0,0,2,v2.0.0,benign_media,0.385062,train,train_default
session_v2_000047_69bf3bcd,1,0,2025-12-17T13:54:13.871777,2025-12-17T14:02:02.871777,0,0,0,0.4,469,27,1,2,1,"[4, 13, 18, 21, 2, 15, 21, 7, 4, 21, 9, 2, 14, 13, 13, 12, 13, 13, 14, 15, 12, 12, 12, 13, 15, 12, 11]",0,2,0,2,0,0,1,0,1,0,1,5,6,2,3,0,0,1,0,0,3,v2.0.0,benign_files,0.416988,train,train_default
session_v2_000048_193b971d,1,1,2026-03-19T13:07:15.873681,2026-03-19T13:12:17.873681,0,1,0,0.378,302,18,0,2,1,"[1, 14, 21, 6, 4, 17, 13, 12, 21, 1, 14, 21, 5, 15, 21, 2, 21, 1]",3,1,0,1,1,1,0,0,0,0,0,1,1,2,1,0,1,0,0,0,5,v2.0.0,benign_browse,0.450354,test_ood,ood_time_bucket
session_v2_000049_f39cef7e,0,2,2025-12-07T21:16:00.874758,2025-12-07T21:18:40.874758,0,1,0,0.276,160,21,0,0,1,"[2, 12, 21, 4, 17, 13, 1, 13, 12, 19, 20, 12, 13, 3, 12, 12, 12, 12, 12, 21, 1]",2,1,1,1,0,0,0,0,0,0,0,8,3,0,0,0,1,0,1,1,2,v2.0.0,screen_share_contextual,0.602882,train,train_default
session_v2_000050_6ed62314,1,0,2025-10-14T08:16:00.875950,2025-10-14T08:20:06.875950,0,0,0,0.355,246,16,0,1,1,"[3, 21, 8, 1, 21, 4, 17, 21, 9, 3, 12, 12, 21, 1, 14, 21]",2,0,2,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,5,v2.0.0,benign_browse,0.339525,train,train_default
session_v2_000051_19603580,2,0,2026-03-28T02:36:16.876990,2026-03-28T02:39:54.876990,0,0,1,0.594,218,16,0,2,0,"[2, 14, 13, 21, 3, 21, 2, 14, 12, 12, 21, 7, 4, 21, 1, 21]",1,2,1,1,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,5,v2.0.0,benign_media,0.226583,test_ood,ood_time_bucket
session_v2_000052_f59b1d74,2,0,2026-02-07T18:28:58.877670,2026-02-07T18:33:31.877670,1,0,0,0.324,273,20,0,0,2,"[5, 16, 12, 15, 21, 2, 21, 4, 17, 18, 12, 21, 9, 5, 21, 1, 21, 6, 3, 21]",1,1,1,1,2,1,0,0,1,0,0,2,0,0,1,1,1,1,0,0,6,v2.0.0,benign_media,0.33497,train,train_default
