session_id,user_type,timestamp_start,timestamp_end,event_sequence,event_timestamps,device_state,behavioral_features,label,generator_version,scenario_family,risk_score,split,split_reason
session_v2_000001_a0b3b7d0,cautious_user,2026-01-01T18:15:25.827461,2026-01-01T18:17:29.827461,"[""open_app:Browser"", ""scroll"", ""install_app"", ""scroll"", ""open_app:WhatsApp"", ""click_link"", ""switch_app"", ""open_app:Browser"", ""download_file"", ""switch_app"", ""scroll"", ""download_file"", ""switch_app""]","[""2026-01-01T18:15:25.827461"", ""2026-01-01T18:15:28.827461"", ""2026-01-01T18:15:36.827461"", ""2026-01-01T18:15:53.827461"", ""2026-01-01T18:16:11.827461"", ""2026-01-01T18:16:28.827461"", ""2026-01-01T18:16:35.827461"", ""2026-01-01T18:16:40.827461"", ""2026-01-01T18:16:50.827461"", ""2026-01-01T18:16:53.827461"", ""2026-01-01T18:16:56.827461"", ""2026-01-01T18:17:21.827461"", ""2026-01-01T18:17:29.827461""]","{""vpn"": 0, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.124}","{""session_duration"": 124, ""num_events"": 13, ""num_links_clicked"": 1, ""num_qr_scans"": 0, ""num_permission_requests"": 0}",malicious,v2.0.0,link_chain_soft,0.601311,train,train_default
session_v2_000002_b54f7741,cautious_user,2025-10-22T05:13:56.827996,2025-10-22T05:20:32.827996,"[""open_app:Settings"", ""type_text"", ""deny_permission"", ""deny_permission"", ""scroll"", ""type_text"", ""type_text"", ""deny_permission"", ""switch_app"", ""close_app:Settings"", ""open_app:WhatsApp"", ""type_text"", ""open_app:WhatsApp"", ""type_text"", ""scroll"", ""start_screen_share"", ""stop_screen_share"", ""open_app:WhatsApp"", ""switch_app"", ""open_app:Settings"", ""scroll""]","[""2025-10-22T05:13:56.827996"", ""2025-10-22T05:14:12.827996"", ""2025-10-22T05:14:20.827996"", ""2025-10-22T05:14:27.827996"", ""2025-10-22T05:14:31.827996"", ""2025-10-22T05:15:05.827996"", ""2025-10-22T05:15:24.827996"", ""2025-10-22T05:15:29.827996"", ""2025-10-22T05:15:46.827996"", ""2025-10-22T05:16:33.827996"", ""2025-10-22T05:17:00.827996"", ""2025-10-22T05:17:23.827996"", ""2025-10-22T05:17:31.827996"", ""2025-10-22T05:18:15.827996"", ""2025-10-22T05:18:22.827996"", ""2025-10-22T05:18:35.827996"", ""2025-10-22T05:18:53.827996"", ""2025-10-22T05:19:28.827996"", ""2025-10-22T05:19:56.827996"", ""2025-10-22T05:20:12.827996"", ""2025-10-22T05:20:32.827996""]","{""vpn"": 1, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.333}","{""session_duration"": 396, ""num_events"": 21, ""num_links_clicked"": 0, ""num_qr_scans"": 0, ""num_permission_requests"": 3}",normal,v2.0.0,screen_share_contextual,0.404947,train,train_default
session_v2_000003_c565a744,average_user,2025-11-23T11:52:59.828688,2025-11-23T11:55:56.828688,"[""open_app:Browser"", ""start_screen_share"", ""scroll"", ""switch_app"", ""open_app:WhatsApp"", ""switch_app"", ""close_app:WhatsApp"", ""open_app:YouTube"", ""switch_app"", ""open_app:Settings"", ""deny_permission"", ""type_text"", ""switch_app"", ""close_app:Settings"", ""open_app:WhatsApp"", ""click_link"", ""switch_app"", ""close_app:WhatsApp"", ""open_app:Browser"", ""type_text"", ""open_app:WhatsApp"", ""click_link"", ""switch_app"", ""open_app:Browser"", ""scroll"", ""type_text"", ""switch_app"", ""close_app:Browser""]","[""2025-11-23T11:52:59.828688"", ""2025-11-23T11:53:02.828688"", ""2025-11-23T11:53:03.828688"", ""2025-11-23T11:53:12.828688"", ""2025-11-23T11:53:15.828688"", ""2025-11-23T11:53:26.828688"", ""2025-11-23T11:53:30.828688"", ""2025-11-23T11:53:39.828688"", ""2025-11-23T11:53:42.828688"", ""2025-11-23T11:53:53.828688"", ""2025-11-23T11:54:02.828688"", ""2025-11-23T11:54:07.828688"", ""2025-11-23T11:54:09.828688"", ""2025-11-23T11:54:18.828688"", ""2025-11-23T11:54:28.828688"", ""2025-11-23T11:54:34.828688"", ""2025-11-23T11:54:38.828688"", ""2025-11-23T11:54:40.828688"", ""2025-11-23T11:54:51.828688"", ""2025-11-23T11:54:56.828688"", ""2025-11-23T11:54:59.828688"", ""2025-11-23T11:55:23.828688"", ""2025-11-23T11:55:33.828688"", ""2025-11-23T11:55:36.828688"", ""2025-11-23T11:55:41.828688"", ""2025-11-23T11:55:44.828688"", ""2025-11-23T11:55:51.828688"", ""2025-11-23T11:55:56.828688""]","{""vpn"": 0, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.406}","{""session_duration"": 177, ""num_events"": 28, ""num_links_clicked"": 2, ""num_qr_scans"": 0, ""num_permission_requests"": 1}",suspicious,v2.0.0,link_chain_soft,0.497128,train,train_default
session_v2_000004_87b6538e,average_user,2026-02-21T11:51:44.831158,2026-02-21T11:56:51.831158,"[""open_app:Settings"", ""scroll"", ""grant_permission"", ""scroll"", ""grant_permission"", ""grant_permission"", ""deny_permission"", ""scroll"", ""scroll"", ""type_text"", ""open_app:Settings"", ""grant_permission"", ""deny_permission"", ""grant_permission"", ""grant_permission"", ""type_text"", ""start_screen_share"", ""scroll"", ""switch_app"", ""close_app:Settings"", ""open_app:FileManager"", ""type_text"", ""type_text"", ""switch_app"", ""close_app:FileManager"", ""open_app:WhatsApp""]","[""2026-02-21T11:51:44.831158"", ""2026-02-21T11:51:59.831158"", ""2026-02-21T11:52:02.831158"", ""2026-02-21T11:52:09.831158"", ""2026-02-21T11:52:24.831158"", ""2026-02-21T11:52:42.831158"", ""2026-02-21T11:52:57.831158"", ""2026-02-21T11:53:06.831158"", ""2026-02-21T11:53:27.831158"", ""2026-02-21T11:53:37.831158"", ""2026-02-21T11:53:39.831158"", ""2026-02-21T11:53:42.831158"", ""2026-02-21T11:53:45.831158"", ""2026-02-21T11:53:50.831158"", ""2026-02-21T11:54:03.831158"", ""2026-02-21T11:54:11.831158"", ""2026-02-21T11:54:43.831158"", ""2026-02-21T11:54:47.831158"", ""2026-02-21T11:55:07.831158"", ""2026-02-21T11:55:15.831158"", ""2026-02-21T11:55:21.831158"", ""2026-02-21T11:56:06.831158"", ""2026-02-21T11:56:27.831158"", ""2026-02-21T11:56:28.831158"", ""2026-02-21T11:56:45.831158"", ""2026-02-21T11:56:51.831158""]","{""vpn"": 1, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.404}","{""session_duration"": 307, ""num_events"": 26, ""num_links_clicked"": 0, ""num_qr_scans"": 0, ""num_permission_requests"": 8}",suspicious,v2.0.0,permission_dense,0.464716,train,train_default
session_v2_000005_2c5c5a28,attacker_simulation,2025-10-13T21:41:52.833117,2025-10-13T21:43:42.833117,"[""open_app:WhatsApp"", ""scan_qr"", ""scan_qr"", ""scroll"", ""scan_qr"", ""click_link"", ""type_text"", ""switch_app"", ""close_app:WhatsApp"", ""open_app:Settings"", ""grant_permission"", ""switch_app"", ""close_app:Settings""]","[""2025-10-13T21:41:52.833117"", ""2025-10-13T21:42:07.833117"", ""2025-10-13T21:42:26.833117"", ""2025-10-13T21:42:27.833117"", ""2025-10-13T21:42:39.833117"", ""2025-10-13T21:42:54.833117"", ""2025-10-13T21:42:58.833117"", ""2025-10-13T21:43:15.833117"", ""2025-10-13T21:43:27.833117"", ""2025-10-13T21:43:30.833117"", ""2025-10-13T21:43:33.833117"", ""2025-10-13T21:43:34.833117"", ""2025-10-13T21:43:42.833117""]","{""vpn"": 1, ""rooted"": 1, ""emulator"": 0, ""ip_risk_score"": 0.524}","{""session_duration"": 110, ""num_events"": 13, ""num_links_clicked"": 1, ""num_qr_scans"": 3, ""num_permission_requests"": 1}",normal,v2.0.0,benign_chat,0.422015,train,train_default
session_v2_000006_25e21774,cautious_user,2025-10-11T14:01:12.833991,2025-10-11T14:07:37.833991,"[""open_app:Settings"", ""scroll"", ""switch_app"", ""open_app:Browser"", ""download_file"", ""switch_app"", ""close_app:Browser"", ""open_app:YouTube"", ""type_text"", ""scroll"", ""type_text"", ""switch_app"", ""open_app:FileManager"", ""type_text"", ""scroll"", ""switch_app"", ""open_app:Settings"", ""type_text"", ""type_text"", ""scroll"", ""scroll"", ""scroll""]","[""2025-10-11T14:01:12.833991"", ""2025-10-11T14:01:48.833991"", ""2025-10-11T14:02:31.833991"", ""2025-10-11T14:02:39.833991"", ""2025-10-11T14:03:04.833991"", ""2025-10-11T14:03:19.833991"", ""2025-10-11T14:03:56.833991"", ""2025-10-11T14:04:22.833991"", ""2025-10-11T14:04:27.833991"", ""2025-10-11T14:04:33.833991"", ""2025-10-11T14:04:40.833991"", ""2025-10-11T14:04:46.833991"", ""2025-10-11T14:05:30.833991"", ""2025-10-11T14:05:37.833991"", ""2025-10-11T14:06:01.833991"", ""2025-10-11T14:06:37.833991"", ""2025-10-11T14:06:43.833991"", ""2025-10-11T14:06:48.833991"", ""2025-10-11T14:07:10.833991"", ""2025-10-11T14:07:15.833991"", ""2025-10-11T14:07:22.833991"", ""2025-10-11T14:07:37.833991""]","{""vpn"": 0, ""rooted"": 1, ""emulator"": 0, ""ip_risk_score"": 0.126}","{""session_duration"": 385, ""num_events"": 22, ""num_links_clicked"": 0, ""num_qr_scans"": 0, ""num_permission_requests"": 0}",normal,v2.0.0,benign_chat,0.288954,train,train_default
session_v2_000007_7617e1e9,average_user,2026-01-17T09:20:22.835129,2026-01-17T09:26:55.835129,"[""open_app:WhatsApp"", ""switch_app"", ""open_app:Settings"", ""grant_permission"", ""scroll"", ""type_text"", ""type_text"", ""type_text"", ""install_app"", ""type_text"", ""type_text"", ""scroll"", ""type_text"", ""type_text"", ""type_text"", ""close_app:Settings"", ""open_app:Browser"", ""type_text"", ""switch_app"", ""close_app:Browser"", ""open_app:Settings"", ""grant_permission"", ""switch_app"", ""close_app:Settings""]","[""2026-01-17T09:20:22.835129"", ""2026-01-17T09:20:41.835129"", ""2026-01-17T09:21:03.835129"", ""2026-01-17T09:21:23.835129"", ""2026-01-17T09:21:37.835129"", ""2026-01-17T09:21:57.835129"", ""2026-01-17T09:22:13.835129"", ""2026-01-17T09:22:21.835129"", ""2026-01-17T09:22:28.835129"", ""2026-01-17T09:23:14.835129"", ""2026-01-17T09:23:41.835129"", ""2026-01-17T09:23:57.835129"", ""2026-01-17T09:24:11.835129"", ""2026-01-17T09:24:45.835129"", ""2026-01-17T09:24:48.835129"", ""2026-01-17T09:25:27.835129"", ""2026-01-17T09:25:33.835129"", ""2026-01-17T09:25:36.835129"", ""2026-01-17T09:25:44.835129"", ""2026-01-17T09:25:50.835129"", ""2026-01-17T09:25:58.835129"", ""2026-01-17T09:26:10.835129"", ""2026-01-17T09:26:16.835129"", ""2026-01-17T09:26:55.835129""]","{""vpn"": 0, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.22}","{""session_duration"": 393, ""num_events"": 24, ""num_links_clicked"": 0, ""num_qr_scans"": 0, ""num_permission_requests"": 2}",normal,v2.0.0,benign_browse,0.339602,train,train_default
session_v2_000008_4571e092,average_user,2026-01-21T14:40:35.836186,2026-01-21T14:46:28.836186,"[""open_app:FileManager"", ""close_app:FileManager"", ""open_app:YouTube"", ""scroll"", ""switch_app"", ""open_app:FileManager"", ""type_text"", ""scroll"", ""scroll"", ""switch_app"", ""open_app:Browser"", ""scan_qr"", ""switch_app"", ""close_app:Browser"", ""open_app:WhatsApp"", ""scan_qr"", ""scroll"", ""type_text"", ""type_text"", ""type_text"", ""switch_app""]","[""2026-01-21T14:40:35.836186"", ""2026-01-21T14:40:50.836186"", ""2026-01-21T14:40:53.836186"", ""2026-01-21T14:41:17.836186"", ""2026-01-21T14:41:27.836186"", ""2026-01-21T14:41:32.836186"", ""2026-01-21T14:41:45.836186"", ""2026-01-21T14:41:59.836186"", ""2026-01-21T14:42:16.836186"", ""2026-01-21T14:42:26.836186"", ""2026-01-21T14:42:57.836186"", ""2026-01-21T14:43:06.836186"", ""2026-01-21T14:43:28.836186"", ""2026-01-21T14:43:44.836186"", ""2026-01-21T14:44:14.836186"", ""2026-01-21T14:44:29.836186"", ""2026-01-21T14:44:59.836186"", ""2026-01-21T14:45:12.836186"", ""2026-01-21T14:45:17.836186"", ""2026-01-21T14:45:40.836186"", ""2026-01-21T14:46:28.836186""]","{""vpn"": 0, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.313}","{""session_duration"": 353, ""num_events"": 21, ""num_links_clicked"": 0, ""num_qr_scans"": 2, ""num_permission_requests"": 0}",normal,v2.0.0,benign_media,0.280164,train,train_default
session_v2_000009_4259c010,risky_user,2025-12-17T00:05:57.837305,2025-12-17T00:10:25.837305,"[""open_app:WhatsApp"", ""type_text"", ""type_text"", ""scan_qr"", ""type_text"", ""type_text"", ""type_text"", ""switch_app"", ""close_app:WhatsApp"", ""open_app:Settings"", ""scroll"", ""type_text"", ""switch_app"", ""open_app:Browser"", ""click_link"", ""type_text"", ""scroll"", ""scroll"", ""switch_app"", ""open_app:FileManager"", ""scroll""]","[""2025-12-17T00:05:57.837305"", ""2025-12-17T00:06:00.837305"", ""2025-12-17T00:06:08.837305"", ""2025-12-17T00:06:10.837305"", ""2025-12-17T00:06:14.837305"", ""2025-12-17T00:06:17.837305"", ""2025-12-17T00:06:33.837305"", ""2025-12-17T00:07:05.837305"", ""2025-12-17T00:07:12.837305"", ""2025-12-17T00:07:17.837305"", ""2025-12-17T00:07:29.837305"", ""2025-12-17T00:07:39.837305"", ""2025-12-17T00:08:19.837305"", ""2025-12-17T00:08:30.837305"", ""2025-12-17T00:09:15.837305"", ""2025-12-17T00:09:20.837305"", ""2025-12-17T00:09:55.837305"", ""2025-12-17T00:09:57.837305"", ""2025-12-17T00:10:14.837305"", ""2025-12-17T00:10:20.837305"", ""2025-12-17T00:10:25.837305""]","{""vpn"": 0, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.395}","{""session_duration"": 268, ""num_events"": 21, ""num_links_clicked"": 1, ""num_qr_scans"": 1, ""num_permission_requests"": 0}",suspicious,v2.0.0,benign_files,0.476317,val,val_random_fill
session_v2_000010_96de3878,risky_user,2025-11-29T23:57:10.838186,2025-11-30T00:01:27.838186,"[""open_app:Browser"", ""click_link"", ""scroll"", ""download_file"", ""switch_app"", ""close_app:Browser"", ""open_app:YouTube"", ""scroll"", ""type_text"", ""switch_app"", ""close_app:YouTube"", ""open_app:WhatsApp"", ""scan_qr"", ""scroll"", ""start_screen_share"", ""switch_app"", ""close_app:WhatsApp"", ""open_app:Settings"", ""install_app"", ""scroll"", ""scroll"", ""switch_app"", ""open_app:Browser""]","[""2025-11-29T23:57:10.838186"", ""2025-11-29T23:57:14.838186"", ""2025-11-29T23:57:31.838186"", ""2025-11-29T23:57:58.838186"", ""2025-11-29T23:58:15.838186"", ""2025-11-29T23:58:25.838186"", ""2025-11-29T23:58:37.838186"", ""2025-11-29T23:59:01.838186"", ""2025-11-29T23:59:13.838186"", ""2025-11-29T23:59:15.838186"", ""2025-11-29T23:59:36.838186"", ""2025-11-29T23:59:50.838186"", ""2025-11-29T23:59:53.838186"", ""2025-11-30T00:00:09.838186"", ""2025-11-30T00:00:14.838186"", ""2025-11-30T00:00:30.838186"", ""2025-11-30T00:00:41.838186"", ""2025-11-30T00:00:46.838186"", ""2025-11-30T00:00:49.838186"", ""2025-11-30T00:01:06.838186"", ""2025-11-30T00:01:16.838186"", ""2025-11-30T00:01:22.838186"", ""2025-11-30T00:01:27.838186""]","{""vpn"": 0, ""rooted"": 0, ""emulator"": 0, ""ip_risk_score"": 0.332}","{""session_duration"": 257, ""num_events"": 23, ""num_links_clicked"": 1, ""num_qr_scans"": 1, ""num_permission_requests"": 0}",normal,v2.0.0,benign_media,0.356092,train,train_default
