transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000142150,2024-12-22 16:10:24,P2P,Grocery,232,SUCCESS,36-45,18-25,Andhra Pradesh,Kotak,SBI,Android,4G,0,16,Sunday,1
TXN0000154368,2024-02-19 22:39:41,P2P,Fuel,1260,SUCCESS,36-45,36-45,Karnataka,Axis,ICICI,Android,5G,0,22,Monday,0
TXN0000011697,2024-07-26 00:53:15,P2M,Shopping,1372,SUCCESS,26-35,26-35,Karnataka,Kotak,IndusInd,Android,4G,0,0,Friday,0
TXN0000204113,2024-05-22 17:08:06,P2M,Grocery,354,SUCCESS,18-25,18-25,Andhra Pradesh,HDFC,ICICI,Android,4G,0,17,Wednesday,0
TXN0000111223,2024-02-04 19:03:29,P2P,Other,852,SUCCESS,18-25,18-25,Telangana,ICICI,HDFC,Android,4G,0,19,Sunday,1
TXN0000071090,2024-12-25 17:50:10,Bill Payment,Shopping,1453,SUCCESS,36-45,36-45,Tamil Nadu,ICICI,ICICI,iOS,4G,0,17,Wednesday,0
TXN0000099283,2024-01-19 14:14:43,Recharge,Education,2864,FAILED,36-45,26-35,Delhi,Axis,SBI,Web,4G,0,14,Friday,0
TXN0000102589,2024-03-03 19:56:18,P2P,Entertainment,219,SUCCESS,56+,26-35,Karnataka,HDFC,HDFC,Android,5G,0,19,Sunday,1
TXN0000137106,2024-11-09 19:19:16,Bill Payment,Shopping,2623,SUCCESS,26-35,56+,Gujarat,PNB,Axis,Android,4G,0,19,Saturday,1
TXN0000153164,2024-11-05 13:16:37,P2M,Shopping,2051,FAILED,26-35,18-25,Tamil Nadu,HDFC,ICICI,Android,5G,0,13,Tuesday,0
TXN0000124351,2024-06-11 19:48:47,P2P,Other,482,SUCCESS,36-45,36-45,Delhi,Axis,HDFC,Android,5G,0,19,Tuesday,0
TXN0000082725,2024-12-25 22:28:52,Recharge,Entertainment,161,SUCCESS,18-25,26-35,Uttar Pradesh,Axis,Axis,Android,3G,0,22,Wednesday,0
TXN0000022058,2024-01-06 15:03:14,P2P,Food,1663,SUCCESS,18-25,36-45,Telangana,ICICI,SBI,Web,4G,0,15,Saturday,1
TXN0000160144,2024-04-04 14:17:40,P2P,Grocery,626,SUCCESS,18-25,26-35,Telangana,SBI,ICICI,Android,4G,0,14,Thursday,0
TXN0000014988,2024-01-12 18:31:27,P2P,Food,362,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,ICICI,Android,4G,0,18,Friday,0
TXN0000193355,2024-12-12 20:06:46,P2M,Grocery,1458,SUCCESS,26-35,18-25,Delhi,Yes Bank,Axis,Android,WiFi,0,20,Thursday,0
